Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,queriedLine
A01,Metro Center,C01,,RD,,,,38.898303,-77.028099,RD
A02,Farragut North,,,RD,,,,38.903192,-77.039766,RD
A03,Dupont Circle,,,RD,,,,38.909499,-77.04362,RD
A04,Woodley Park-Zoo/Adams Morgan,,,RD,,,,38.924999,-77.052648,RD
A05,Cleveland Park,,,RD,,,,38.934703,-77.058226,RD
A06,Van Ness-UDC,,,RD,,,,38.94362,-77.063511,RD
A07,Tenleytown-AU,,,RD,,,,38.947808,-77.079615,RD
A08,Friendship Heights,,,RD,,,,38.960744,-77.085969,RD
A09,Bethesda,,,RD,,,,38.984282,-77.094431,RD
A10,Medical Center,,,RD,,,,38.999947,-77.097253,RD
A11,Grosvenor-Strathmore,,,RD,,,,39.029158,-77.10415,RD
A12,North Bethesda,,,RD,,,,39.048043,-77.113131,RD
A13,Twinbrook,,,RD,,,,39.062359,-77.121113,RD
A14,Rockville,,,RD,,,,39.084215,-77.146424,RD
A15,Shady Grove,,,RD,,,,39.119819,-77.164921,RD
B01,Gallery Pl-Chinatown,F01,,RD,,,,38.89834,-77.021851,RD
B02,Judiciary Square,,,RD,,,,38.896084,-77.016643,RD
B03,Union Station,,,RD,,,,38.897723,-77.006745,RD
B04,Rhode Island Ave-Brentwood,,,RD,,,,38.920741,-76.995984,RD
B05,Brookland-CUA,,,RD,,,,38.933234,-76.994544,RD
B06,Fort Totten,E06,,RD,,,,38.951777,-77.002174,RD
B07,Takoma,,,RD,,,,38.975532,-77.017834,RD
B08,Silver Spring,,,RD,,,,38.993841,-77.031321,RD
B09,Forest Glen,,,RD,,,,39.015413,-77.042953,RD
B10,Wheaton,,,RD,,,,39.038558,-77.051098,RD
B11,Glenmont,,,RD,,,,39.061713,-77.05341,RD
B35,NoMa-Gallaudet U,,,RD,,,,38.907407,-77.002961,RD
C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,OR
C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,OR
C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,OR
C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,OR
C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,OR
D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,OR
D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,OR
D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,OR
D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,OR
D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,OR
D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,OR
D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,OR
D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,OR
D09,Minnesota Ave,,,OR,,,,38.898284,-76.948042,OR
D10,Deanwood,,,OR,,,,38.907734,-76.936177,OR
D11,Cheverly,,,OR,,,,38.91652,-76.915427,OR
D12,Landover,,,OR,,,,38.934411,-76.890988,OR
D13,New Carrollton,,,OR,,,,38.947674,-76.872144,OR
K01,Court House,,,OR,SV,,,38.891499,-77.08391,OR
K02,Clarendon,,,OR,SV,,,38.886373,-77.096963,OR
K03,Virginia Square-GMU,,,OR,SV,,,38.88331,-77.104267,OR
K04,Ballston-MU,,,OR,SV,,,38.882071,-77.111845,OR
K05,East Falls Church,,,OR,SV,,,38.885841,-77.157177,OR
K06,West Falls Church,,,OR,,,,38.90067,-77.189394,OR
K07,Dunn Loring-Merrifield,,,OR,,,,38.883015,-77.228939,OR
K08,Vienna/Fairfax-GMU,,,OR,,,,38.877693,-77.271562,OR
C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,BL
C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,BL
C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,BL
C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,BL
C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,BL
C06,Arlington Cemetery,,,BL,,,,38.884574,-77.063108,BL
C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,BL
C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,BL
C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,BL
C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,BL
C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,BL
C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,BL
D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,BL
D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,BL
D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,BL
D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,BL
D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,BL
D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,BL
D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,BL
D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,BL
G01,Benning Road,,,BL,SV,,,38.890488,-76.938291,BL
G02,Capitol Heights,,,BL,SV,,,38.889757,-76.913382,BL
G03,Addison Road-Seat Pleasant,,,BL,SV,,,38.886713,-76.893592,BL
G04,Morgan Boulevard,,,BL,SV,,,38.8913,-76.8682,BL
G05,Downtown Largo,,,BL,SV,,,38.9008,-76.8449,BL
J02,Van Dorn Street,,,BL,,,,38.799193,-77.129407,BL
J03,Franconia-Springfield,,,BL,,,,38.766129,-77.168797,BL
E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,,,38.905604,-77.022256,GR
E02,Shaw-Howard U,,,GR,YL,,,38.912919,-77.022194,GR
E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,,,38.916489,-77.028938,GR
E04,Columbia Heights,,,GR,YL,,,38.928672,-77.032775,GR
E05,Georgia Ave-Petworth,,,GR,YL,,,38.936077,-77.024728,GR
