LineCode,StationCode,StationName,SeqNum,DistanceToPrev,Name,StationTogether1,LineCode1,LineCode2,LineCode3,Lat,Lon,queriedLine,isUpperLevel,lines,opening
BL,G05,Downtown Largo,1,,Downtown Largo,,BL,SV,,38.9008,-76.8449,BL,-1,"Blue,Silver",2004-12-18
BL,G04,Morgan Boulevard,2,7256,Morgan Boulevard,,BL,SV,,38.8913,-76.8682,BL,-1,"Blue,Silver",2004-12-18
BL,G03,Addison Road-Seat Pleasant,3,7960,Addison Road-Seat Pleasant,,BL,SV,,38.886713,-76.893592,BL,-1,"Blue,Silver",1980-11-22
BL,G02,Capitol Heights,4,5215,Capitol Heights,,BL,SV,,38.889757,-76.913382,BL,-1,"Blue,Silver",1980-11-22
BL,G01,Benning Road,5,7779,Benning Road,,BL,SV,,38.890488,-76.938291,BL,-1,"Blue,Silver",1980-11-22
BL,D08,Stadium-Armory,6,12162,Stadium-Armory,,BL,OR,SV,38.88594,-76.977485,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D07,Potomac Ave,7,3750,Potomac Ave,,BL,OR,SV,38.880841,-76.985721,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D06,Eastern Market,8,3289,Eastern Market,,BL,OR,SV,38.884124,-76.995334,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D05,Capitol South,9,2703,Capitol South,,BL,OR,SV,38.884968,-77.005137,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D04,Federal Center SW,10,3052,Federal Center SW,,BL,OR,SV,38.884958,-77.01586,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D03,L'Enfant Plaza,11,1757,L'Enfant Plaza,F03,BL,OR,SV,38.884775,-77.021964,OR,0,"Blue,Orange,Silver",1977-07-01
BL,D02,Smithsonian,12,2643,Smithsonian,,BL,OR,SV,38.888022,-77.028232,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,D01,Federal Triangle,13,2016,Federal Triangle,,BL,OR,SV,38.893757,-77.028218,OR,-1,"Blue,Orange,Silver",1977-07-01
BL,C01,Metro Center,14,1561,Metro Center,A01,BL,OR,SV,38.898303,-77.028099,OR,0,"Blue,Orange,Silver",1977-07-01
BL,C02,McPherson Square,15,2359,McPherson Square,,BL,OR,SV,38.901316,-77.033652,OR,-1,"Blue,Orange,Silver",1977-07-01
